execution_id,orientation,first_turn,second_turn
s01_01,back_inv,l,r
s01_02,back_inv,r,r
s01_03,back_inv,l,r
s01_04,back_inv,r,r
s01_05,back_inv,r,r
s01_06,back_inv,l,r
s02_01,front_inv,l,r
s02_02,back,r,r
s02_03,back,l,r
s02_04,back,r,l
s02_05,back,r,r
s02_06,back,l,l
s02_07,back,r,r
s02_08,back,l,l
s02_09,back,r,r
s03_01,back_inv,r,r
s03_02,back_inv,l,r
s03_03,back_inv,r,r
s03_04,back_inv,r,r
s03_05,back_inv,l,r
s03_06,back_inv,r,r
s03_07,back_inv,l,r
s03_08,back_inv,r,r
s03_09,back_inv,l,r
s03_10,back_inv,r,r
s04_01,back_inv,r,r
s04_02,back_inv,l,r
s04_03,back_inv,l,l
s04_04,back_inv,r,l
s04_05,back_inv,l,l
s04_06,back_inv,r,l
s04_07,back_inv,l,r
s04_08,back_inv,r,l
s04_09,back_inv,l,r
s04_10,back_inv,r,l
s05_01,front,l,r
s05_02,front,r,l
s05_03,front,l,r
s05_04,front,r,l
s05_05,front,l,r
s05_06,front,l,r
s05_07,front,r,l
s05_08,front,l,l
s05_09,front,r,l
s05_10,front,l,l
s06_01,back,l,l
s06_02,back,l,l
s06_03,back,l,l
s06_04,back,r,l
s06_05,back,r,l
s06_06,back,r,r
s06_07,back,l,l
s06_08,back,r,l
s06_09,back,l,l
s06_10,back,r,r
s07_01,front,r,r
s07_02,front,l,r
s07_03,front,r,r
s07_04,front,l,r
s07_05,front,r,r
s07_06,front,r,r
s07_07,front,l,r
s07_08,front,r,r
s07_09,front,r,r
s07_10,front,r,r
s07_11,front,l,r
s08_01,back_inv,r,r
s08_02,back_inv,r,r
s08_03,back_inv,r,r
s08_04,back_inv,r,r
s08_05,back_inv,r,r
s08_06,back_inv,r,r
s08_07,back_inv,r,r
s08_08,back_inv,r,r
s08_09,back_inv,r,r
s09_01,back_inv,l,r
s09_02,back_inv,l,r
s09_03,back_inv,l,r
s09_04,back_inv,l,r
